Catégorie d'actifs;Nom;Code ISIN;Quantité;Cours;Dev.;Date du prix;Valeur (EUR)
Actions;AMUNDI MSCI WATER ESG SCRND ETF;FR0010527275;;71,311;EUR;06-02-26;
Actions;BNPP E MSCI CHINA MIN EUR ETF-C;LU2314312849;;7,592;EUR;06-02-26;
Actions;BNPPE ESG ENH EUR CP BD DC2027 ETF C;LU2823898353;;10,669;EUR;06-02-26;
Actions;ISHARES EDGE MSCI WRLD MIN VOLAT ETF;IE00B8FHGS14;;63,57;EUR;06-02-26;
Actions;ISHARES IBONDS DEC2028 TERM CORP ETF;IE0008UEVOE0;;5,675;EUR;06-02-26;
Actions;ISHARES MSCI CHINA ETF USD CAP;IE00BJ5JPG56;;6,271;USD;06-02-26;
Actions;ISHARES USD TIPS ETF EURH CAP;IE00BDZVH966;;5,4;EUR;06-02-26;
Actions;SPDR FTSE EPRA EURPEXUK REAL EST ETF;IE00BSJCQV56;;30,285;EUR;06-02-26;
Obligations;ASIAN DEVELOP  16       1,750 140826;US045167DR18;;99,005;%;06-02-26;
Obligations;ASIAN DEVELOP  21       0,750 100226;CA045167FA66;;99,99;%;06-02-26;
Obligations;BEI            17       2,375 240527;US298785HM16;;98,51;%;06-02-26;
Obligations;DEUTSCHE BAHN  19       1,875 130226;XS1950499712;;99,985;%;06-02-26;
Obligations;ETATS-UNIS D'A 20       0,375 310727;US91282CAD39;;95,62;%;06-02-26;
Obligations;NOUVELLE-ZELAN 20       0,250 150528;NZGOVDT528C6;;93,485;%;06-02-26;
Obligations;NOUVELLE-ZELAN 21       0,500 150526;NZGOVDT526C0;;99,488;%;06-02-26;
Fonds;BNPP EUR SHORT TERM CORP BD OPP C-D;LU0099624925;;46,19;EUR;05-02-26;
